SalesOrderID,CustomerID,FirstName,LastName,TotalDue,NombreCompleto,TotalConImpuesto
43793,11000,Mary,Young,3756.989,Mary Young,4358.096800
51522,11000,Mary,Young,2587.8769,Mary Young,3001.929200
57418,11000,Mary,Young,2770.2682,Mary Young,3213.501600
43767,11001,Amber,Young,3729.364,Amber Young,4326.057600
51493,11001,Amber,Young,2674.0227,Amber Young,3101.863200
72773,11001,Amber,Young,650.8008,Amber Young,754.928000
43736,11002,Courtney,Young,3756.989,Courtney Young,4358.096800
51238,11002,Courtney,Young,2535.964,Courtney Young,2941.713600
53237,11002,Courtney,Young,2673.0613,Courtney Young,3100.749600
43701,11003,Jenna,Young,3756.989,Jenna Young,4358.096800
51315,11003,Jenna,Young,2562.4508,Jenna Young,2972.442000
57783,11003,Jenna,Young,2674.4757,Jenna Young,3102.385200
43810,11004,Chloe,Harris,3756.989,Chloe Harris,4358.096800
51595,11004,Chloe,Harris,2626.5408,Chloe Harris,3046.786400
57293,11004,Chloe,Harris,2673.0613,Chloe Harris,3100.749600
43704,11005,Joe,Madan,3729.364,Joe Madan,4326.057600
51612,11005,Joe,Madan,2610.3084,Joe Madan,3027.948000
57361,11005,Joe,Madan,2634.3974,Joe Madan,3055.892400
43819,11006,Chloe,Martin,3756.989,Chloe Martin,4358.096800
51198,11006,Chloe,Martin,2580.1419,Chloe Martin,2992.962400
58007,11006,Chloe,Martin,2634.3974,Chloe Martin,3055.892400
43743,11007,Marshall,Xu,3756.989,Marshall Xu,4358.096800
51581,11007,Marshall,Xu,2643.1048,Marshall Xu,3065.996000
54705,11007,Marshall,Xu,2673.0613,Marshall Xu,3100.749600
43826,11008,Joe,Srini,3729.364,Joe Srini,4326.057600
51282,11008,Joe,Srini,2555.0473,Joe Srini,2963.846400
53765,11008,Joe,Srini,2673.0613,Joe Srini,3100.749600
43837,11009,Joe,Prasad,3729.364,Joe Prasad,4326.057600
51562,11009,Joe,Prasad,2538.4944,Joe Prasad,2944.648400
57736,11009,Joe,Prasad,2673.0613,Joe Prasad,3100.749600
43765,11010,Joe,Schmidt,3756.989,Joe Schmidt,4358.096800
51421,11010,Joe,Schmidt,2535.964,Joe Schmidt,2941.713600
58533,11010,Joe,Schmidt,2644.3313,Joe Schmidt,3067.422800
43705,11011,Joe,Rana,3756.989,Joe Rana,4358.096800
51650,11011,Joe,Rana,2535.964,Joe Rana,2941.713600
54706,11011,Joe,Rana,2694.0563,Joe Rana,3125.098000
54508,11012,Chloe,Thompson,82.8529,Chloe Thompson,96.106000
68413,11012,Chloe,Thompson,6.9394,Chloe Thompson,8.038800
56137,11013,Joe,Raman,43.0729,Joe Raman,49.961200
74908,11013,Joe,Raman,82.8529,Joe Raman,96.106000
54898,11014,Chloe,Garcia,43.0729,Chloe Garcia,49.961200
57222,11014,Chloe,Garcia,109.9144,Chloe Garcia,127.495600
51520,11015,Joe,Subram,2763.5719,Joe Subram,3205.741200
52512,11016,Chloe,Robinson,2577.1694,Chloe Robinson,2989.505600
43757,11017,Chloe,Clark,3729.364,Chloe Clark,4326.057600
51256,11017,Chloe,Clark,2560.2519,Chloe Clark,2969.890000
68396,11017,Chloe,Clark,820.2968,Chloe Clark,951.536400
43778,11018,Joe,Mehta,3756.989,Joe Mehta,4358.096800
51492,11018,Joe,Mehta,2587.8769,Joe Mehta,3001.929200
69087,11018,Joe,Mehta,874.4086,Joe Mehta,1014.304000
52626,11019,Joe,Belson,41.9569,Joe Belson,48.662000
53834,11019,Joe,Belson,59.659,Joe Belson,69.194000
54332,11019,Joe,Belson,53.0069,Joe Belson,61.480000
56910,11019,Joe,Belson,9.934,Joe Belson,11.518800
57639,11019,Joe,Belson,8.0444,Joe Belson,9.326400
58600,11019,Joe,Belson,164.6229,Joe Belson,190.959200
62659,11019,Joe,Belson,41.2055,Joe Belson,47.792000
64737,11019,Joe,Belson,2.5305,Joe Belson,2.934800
65967,11019,Joe,Belson,27.614,Joe Belson,32.027600
66658,11019,Joe,Belson,26.2769,Joe Belson,30.473200
68563,11019,Joe,Belson,41.1834,Joe Belson,47.768800
69177,11019,Joe,Belson,38.664,Joe Belson,44.845600
71963,11019,Joe,Belson,82.3004,Joe Belson,95.468000
72015,11019,Joe,Belson,37.5479,Joe Belson,43.546400
72747,11019,Joe,Belson,136.9979,Joe Belson,158.908400
74561,11019,Joe,Belson,132.6,Joe Belson,153.816000
74593,11019,Joe,Belson,71.2394,Joe Belson,82.626800
51193,11020,Chloe,Rodriguez,2560.2519,Chloe Rodriguez,2969.890000
51610,11021,Cindy,Lewis,2621.0158,Cindy Lewis,3040.371600
51556,11022,Joe,Lopez,2566.1194,Joe Lopez,2976.687600
52912,11023,Chloe,Lee,128.1358,Chloe Lee,148.630800
