43700,14501,772.5036,Bryan Gray,BRYAN GRAY
43701,11003,3756.989,Jenna Young,JENNA YOUNG
43703,16624,3953.9884,Nichole Goel,NICHOLE GOEL
43704,11005,3729.364,Joe Madan,JOE MADAN
43705,11011,3756.989,Joe Rana,JOE RANA
43708,20042,772.5036,Donald Raman,DONALD RAMAN
43709,16351,3953.9884,Luke Nelson,LUKE NELSON
43710,16517,3953.9884,Kelsey Raje,KELSEY RAJE
43712,13513,3953.9884,Jeremy Powell,JEREMY POWELL
43714,13591,3953.9884,Jon Yuan,JON YUAN
43715,16483,3953.9884,Misty Nath,MISTY NATH
43716,16529,3953.9884,Kelsey Nath,KELSEY NATH
43720,13264,3953.9884,Roger Zheng,ROGER ZHENG
43721,13590,3953.9884,Briana Gutierrez,BRIANA GUTIERREZ
43722,13581,3953.9884,Blake Price,BLAKE PRICE
43723,14520,772.5036,Lucas Gray,LUCAS GRAY
43724,16520,3953.9884,Kelsey Chande,KELSEY CHANDE
43725,13258,3953.9884,Roger Ma,ROGER MA
43726,14560,772.5036,Sebastian Ramirez,SEBASTIAN RAMIREZ
43727,16607,3953.9884,Nichole Jai,NICHOLE JAI
43729,11238,3756.989,Ruben Martin,RUBEN MARTIN
43731,16629,3953.9884,Logan Hill,LOGAN HILL
43732,11025,3729.364,Marshall Sun,MARSHALL SUN
43735,16522,3953.9884,Carlos Mitchell,CARLOS MITCHELL
43736,11002,3756.989,Courtney Young,COURTNEY YOUNG
43737,13261,3953.9884,Carson Simmons,CARSON SIMMONS
43738,11606,3953.9884,Anna Robinson,ANNA ROBINSON
43739,13563,3953.9884,Miguel Flores,MIGUEL FLORES
43740,16527,3953.9884,Alex Mitchell,ALEX MITCHELL
43742,13576,3953.9884,Miguel Russell,MIGUEL RUSSELL
43743,11007,3756.989,Marshall Xu,MARSHALL XU
43744,16631,3953.9884,Caleb Scott,CALEB SCOTT
43745,16514,3953.9884,Samuel Hill,SAMUEL HILL
43746,16616,3953.9884,Gloria Carlson,GLORIA CARLSON
43750,11591,3953.9884,Barbara Xu,BARBARA XU
43751,11592,3953.9884,Barbara Luo,BARBARA LUO
43752,13265,3953.9884,Carson Bryant,CARSON BRYANT
43753,16482,3953.9884,Thomas Mitchell,THOMAS MITCHELL
43756,19941,772.5036,Julie Xie,JULIE XIE
43757,11017,3729.364,Chloe Clark,CHLOE CLARK
43759,13257,3953.9884,Carson Butler,CARSON BUTLER
43760,16352,3953.9884,Jordan Nelson,JORDAN NELSON
43761,16493,3953.9884,Kelsey She,KELSEY SHE
43763,16525,3953.9884,Kelsey Nara,KELSEY NARA
43764,16612,3953.9884,Jesse Lopez,JESSE LOPEZ
43765,11010,3756.989,Joe Schmidt,JOE SCHMIDT
43766,16518,3953.9884,Caleb Mitchell,CALEB MITCHELL
43767,11001,3729.364,Amber Young,AMBER YOUNG
43771,14559,772.5036,Micheal Alvarez,MICHEAL ALVAREZ
43772,16524,3953.9884,Gloria Gill,GLORIA GILL
43773,16526,3953.9884,Isaiah Mitchell,ISAIAH MITCHELL
43774,16348,3953.9884,Connor Nelson,CONNOR NELSON
43775,11027,3756.989,Chloe Hall,CHLOE HALL
43776,13260,3953.9884,Roger Guo,ROGER GUO
43777,16515,3953.9884,Kelsey Jai,KELSEY JAI
43778,11018,3756.989,Joe Mehta,JOE MEHTA
43780,11599,3953.9884,Anna Harris,ANNA HARRIS
43781,16495,3953.9884,Kelsey Shen,KELSEY SHEN
43782,16516,3953.9884,Kelsey Pal,KELSEY PAL
43783,16620,3953.9884,Nichole Nath,NICHOLE NATH
43785,11601,3953.9884,Anna Martin,ANNA MARTIN
43786,11607,3953.9884,Barbara Jai,BARBARA JAI
43788,11239,3729.364,Isabella Martinez,ISABELLA MARTINEZ
43791,16484,3953.9884,Misty Goel,MISTY GOEL
43792,16623,3953.9884,Jonathan Hill,JONATHAN HILL
43793,11000,3756.989,Mary Young,MARY YOUNG
43794,11029,3756.989,Joe Gonzalez,JOE GONZALEZ
43796,17956,772.5036,Christian Smith,CHRISTIAN SMITH
43797,16345,3953.9884,Caleb Nelson,CALEB NELSON
43798,16521,3953.9884,Carlos Hill,CARLOS HILL
43799,16636,3953.9884,Alison Shen,ALISON SHEN
43801,13583,3953.9884,Jon Xu,JON XU
43802,11593,3953.9884,Barbara Yuan,BARBARA YUAN
43804,13585,3953.9884,Y. Yong,Y. YONG
43805,14510,772.5036,Jonathon Ortega,JONATHON ORTEGA
43806,16523,3953.9884,Angel Mitchell,ANGEL MITCHELL
43807,11611,3953.9884,Anna Lewis,ANNA LEWIS
43808,13259,3953.9884,Roger Liang,ROGER LIANG
43809,16350,3953.9884,Katrina Chapman,KATRINA CHAPMAN
43810,11004,3756.989,Chloe Harris,CHLOE HARRIS
43811,11026,3756.989,Joe Martinez,JOE MARTINEZ
43815,16494,3953.9884,Kevin Mitchell,KEVIN MITCHELL
43816,16496,3953.9884,Gabriel Mitchell,GABRIEL MITCHELL
43817,16519,3953.9884,Jackson Mitchell,JACKSON MITCHELL
43818,16528,3953.9884,Kelsey Rai,KELSEY RAI
43819,11006,3756.989,Chloe Martin,CHLOE MARTIN
43823,19942,772.5036,Nicole Sandberg,NICOLE SANDBERG
43824,14558,772.5036,Juan Ramirez,JUAN RAMIREZ
43825,16349,3953.9884,Katrina Chande,KATRINA CHANDE
43826,11008,3729.364,Joe Srini,JOE SRINI
43830,16347,3953.9884,Katrina Raje,KATRINA RAJE
43831,11028,3729.364,Julia Smith,JULIA SMITH
43832,13584,3953.9884,Blake Bennett,BLAKE BENNETT
43835,19802,3729.364,Byron Ramos,BYRON RAMOS
43837,11009,3729.364,Joe Prasad,JOE PRASAD
43840,17957,772.5036,Ethan Thompson,ETHAN THOMPSON
43841,13406,3953.9884,Briana Diaz,BRIANA DIAZ
43842,16630,3953.9884,Thomas Hill,THOMAS HILL
43919,12124,3953.9884,Taylor Smith,TAYLOR SMITH
43921,16743,3953.9884,Martin Srini,MARTIN SRINI
43922,13546,3953.9884,Miguel Henderson,MIGUEL HENDERSON
43924,12132,3953.9884,Taylor Jones,TAYLOR JONES
43925,16661,3953.9884,Alison Chande,ALISON CHANDE
43926,11055,3729.364,Judith White,JUDITH WHITE
43927,16662,3953.9884,Noah Adams,NOAH ADAMS
43928,16740,3953.9884,Jack Scott,JACK SCOTT
43931,13548,3953.9884,Miguel Coleman,MIGUEL COLEMAN
43932,16741,3953.9884,Martin Madan,MARTIN MADAN
43933,11031,3756.989,Julia Williams,JULIA WILLIAMS
43934,11034,3756.989,Joe Perez,JOE PEREZ
43935,20048,772.5036,Donald Garcia,DONALD GARCIA
43937,17047,3953.9884,Melody Browning,MELODY BROWNING
43938,16686,3953.9884,Francisco Patel,FRANCISCO PATEL
43939,16659,3953.9884,Noah Green,NOAH GREEN
43941,13600,3953.9884,Blake Long,BLAKE LONG
43942,17051,3953.9884,Mason Hernandez,MASON HERNANDEZ
43943,14565,772.5036,Steven Ramirez,STEVEN RAMIREZ
43944,11054,3756.989,Julia Jackson,JULIA JACKSON
43945,16675,3953.9884,Alison Anand,ALISON ANAND
43946,16687,3953.9884,Francisco Vance,FRANCISCO VANCE
43947,16712,3953.9884,Francisco Fernandez,FRANCISCO FERNANDEZ
43948,11047,3756.989,Julia Moore,JULIA MOORE
43951,16696,3953.9884,Francisco Madan,FRANCISCO MADAN
43952,16639,3953.9884,Alison Xie,ALISON XIE
43953,20049,772.5036,Destiny Brooks,DESTINY BROOKS
43954,13602,3953.9884,Blake Hughes,BLAKE HUGHES
43955,13661,3953.9884,Edward Griffin,EDWARD GRIFFIN
