SalesOrderID,CustomerID,Apellido,Nombre,TotalDue
58600,11019,Belson,Joe,164.6229
72747,11019,Belson,Joe,136.9979
74561,11019,Belson,Joe,132.6
71963,11019,Belson,Joe,82.3004
74593,11019,Belson,Joe,71.2394
53834,11019,Belson,Joe,59.659
54332,11019,Belson,Joe,53.0069
52626,11019,Belson,Joe,41.9569
62659,11019,Belson,Joe,41.2055
68563,11019,Belson,Joe,41.1834
69177,11019,Belson,Joe,38.664
72015,11019,Belson,Joe,37.5479
65967,11019,Belson,Joe,27.614
66658,11019,Belson,Joe,26.2769
56910,11019,Belson,Joe,9.934
57639,11019,Belson,Joe,8.0444
64737,11019,Belson,Joe,2.5305
43757,11017,Clark,Chloe,3729.364
51256,11017,Clark,Chloe,2560.2519
68396,11017,Clark,Chloe,820.2968
57222,11014,Garcia,Chloe,109.9144
54898,11014,Garcia,Chloe,43.0729
43794,11029,Gonzalez,Joe,3756.989
57294,11029,Gonzalez,Joe,2661.9119
70593,11029,Gonzalez,Joe,835.7447
43775,11027,Hall,Chloe,3756.989
58536,11027,Hall,Chloe,2666.3208
69088,11027,Hall,Chloe,860.3751
43810,11004,Harris,Chloe,3756.989
57293,11004,Harris,Chloe,2673.0613
51595,11004,Harris,Chloe,2626.5408
43956,11030,Johnston,Julia,3756.989
62739,11030,Johnston,Julia,2563.589
70449,11030,Johnston,Julia,830.2307
43998,11033,Jones,Julia,3729.364
63409,11033,Jones,Julia,2602.2529
52912,11023,Lee,Chloe,128.1358
74658,11023,Lee,Chloe,6.9394
51610,11021,Lewis,Cindy,2621.0158
51556,11022,Lopez,Joe,2566.1194
43704,11005,Madan,Joe,3729.364
57361,11005,Madan,Joe,2634.3974
51612,11005,Madan,Joe,2610.3084
43819,11006,Martin,Chloe,3756.989
58007,11006,Martin,Chloe,2634.3974
51198,11006,Martin,Chloe,2580.1419
43811,11026,Martinez,Joe,3756.989
55132,11026,Martinez,Joe,2651.4144
68468,11026,Martinez,Joe,857.8447
43778,11018,Mehta,Joe,3756.989
51492,11018,Mehta,Joe,2587.8769
69087,11018,Mehta,Joe,874.4086
43837,11009,Prasad,Joe,3729.364
57736,11009,Prasad,Joe,2673.0613
51562,11009,Prasad,Joe,2538.4944
74908,11013,Raman,Joe,82.8529
56137,11013,Raman,Joe,43.0729
43705,11011,Rana,Joe,3756.989
54706,11011,Rana,Joe,2694.0563
51650,11011,Rana,Joe,2535.964
52512,11016,Robinson,Chloe,2577.1694
51193,11020,Rodriguez,Chloe,2560.2519
44021,11032,Sanchez,Joe,3729.364
64042,11032,Sanchez,Joe,2651.1492
70373,11032,Sanchez,Joe,830.2307
43765,11010,Schmidt,Joe,3756.989
58533,11010,Schmidt,Joe,2644.3313
51421,11010,Schmidt,Joe,2535.964
43831,11028,Smith,Julia,3729.364
57943,11028,Smith,Julia,2604.7944
67961,11028,Smith,Julia,820.2968
43826,11008,Srini,Joe,3729.364
53765,11008,Srini,Joe,2673.0613
51282,11008,Srini,Joe,2555.0473
51520,11015,Subram,Joe,2763.5719
43732,11025,Sun,Marshall,3729.364
51561,11025,Sun,Marshall,2658.0444
69157,11025,Sun,Marshall,879.9557
54508,11012,Thompson,Chloe,82.8529
68413,11012,Thompson,Chloe,6.9394
60998,11024,Walker,Chloe,46.7194
62830,11024,Walker,Chloe,15.7242
43933,11031,Williams,Julia,3756.989
62222,11031,Williams,Julia,2566.1194
70748,11031,Williams,Julia,835.7447
43743,11007,Xu,Marshall,3756.989
54705,11007,Xu,Marshall,2673.0613
51581,11007,Xu,Marshall,2643.1048
43793,11000,Young,Mary,3756.989
43736,11002,Young,Courtney,3756.989
43701,11003,Young,Jenna,3756.989
43767,11001,Young,Amber,3729.364
57418,11000,Young,Mary,2770.2682
57783,11003,Young,Jenna,2674.4757
51493,11001,Young,Amber,2674.0227
53237,11002,Young,Courtney,2673.0613
51522,11000,Young,Mary,2587.8769
51315,11003,Young,Jenna,2562.4508
51238,11002,Young,Courtney,2535.964
72773,11001,Young,Amber,650.8008
