SalesOrderID,CustomerID,NombreCliente,TotalDue
43793,11000,MARY YOUNG,3756.989
51522,11000,MARY YOUNG,2587.8769
57418,11000,MARY YOUNG,2770.2682
43767,11001,AMBER YOUNG,3729.364
51493,11001,AMBER YOUNG,2674.0227
72773,11001,AMBER YOUNG,650.8008
43736,11002,COURTNEY YOUNG,3756.989
51238,11002,COURTNEY YOUNG,2535.964
53237,11002,COURTNEY YOUNG,2673.0613
43701,11003,JENNA YOUNG,3756.989
51315,11003,JENNA YOUNG,2562.4508
57783,11003,JENNA YOUNG,2674.4757
43810,11004,CHLOE HARRIS,3756.989
51595,11004,CHLOE HARRIS,2626.5408
57293,11004,CHLOE HARRIS,2673.0613
43704,11005,JOE MADAN,3729.364
51612,11005,JOE MADAN,2610.3084
57361,11005,JOE MADAN,2634.3974
43819,11006,CHLOE MARTIN,3756.989
51198,11006,CHLOE MARTIN,2580.1419
58007,11006,CHLOE MARTIN,2634.3974
43743,11007,MARSHALL XU,3756.989
51581,11007,MARSHALL XU,2643.1048
54705,11007,MARSHALL XU,2673.0613
43826,11008,JOE SRINI,3729.364
51282,11008,JOE SRINI,2555.0473
53765,11008,JOE SRINI,2673.0613
43837,11009,JOE PRASAD,3729.364
51562,11009,JOE PRASAD,2538.4944
57736,11009,JOE PRASAD,2673.0613
43765,11010,JOE SCHMIDT,3756.989
51421,11010,JOE SCHMIDT,2535.964
58533,11010,JOE SCHMIDT,2644.3313
43705,11011,JOE RANA,3756.989
51650,11011,JOE RANA,2535.964
54706,11011,JOE RANA,2694.0563
54508,11012,CHLOE THOMPSON,82.8529
68413,11012,CHLOE THOMPSON,6.9394
56137,11013,JOE RAMAN,43.0729
74908,11013,JOE RAMAN,82.8529
54898,11014,CHLOE GARCIA,43.0729
57222,11014,CHLOE GARCIA,109.9144
51520,11015,JOE SUBRAM,2763.5719
52512,11016,CHLOE ROBINSON,2577.1694
43757,11017,CHLOE CLARK,3729.364
51256,11017,CHLOE CLARK,2560.2519
68396,11017,CHLOE CLARK,820.2968
43778,11018,JOE MEHTA,3756.989
51492,11018,JOE MEHTA,2587.8769
69087,11018,JOE MEHTA,874.4086
52626,11019,JOE BELSON,41.9569
53834,11019,JOE BELSON,59.659
54332,11019,JOE BELSON,53.0069
56910,11019,JOE BELSON,9.934
57639,11019,JOE BELSON,8.0444
58600,11019,JOE BELSON,164.6229
62659,11019,JOE BELSON,41.2055
64737,11019,JOE BELSON,2.5305
65967,11019,JOE BELSON,27.614
66658,11019,JOE BELSON,26.2769
68563,11019,JOE BELSON,41.1834
69177,11019,JOE BELSON,38.664
71963,11019,JOE BELSON,82.3004
72015,11019,JOE BELSON,37.5479
72747,11019,JOE BELSON,136.9979
74561,11019,JOE BELSON,132.6
74593,11019,JOE BELSON,71.2394
51193,11020,CHLOE RODRIGUEZ,2560.2519
51610,11021,CINDY LEWIS,2621.0158
51556,11022,JOE LOPEZ,2566.1194
52912,11023,CHLOE LEE,128.1358
74658,11023,CHLOE LEE,6.9394
60998,11024,CHLOE WALKER,46.7194
62830,11024,CHLOE WALKER,15.7242
43732,11025,MARSHALL SUN,3729.364
51561,11025,MARSHALL SUN,2658.0444
69157,11025,MARSHALL SUN,879.9557
43811,11026,JOE MARTINEZ,3756.989
55132,11026,JOE MARTINEZ,2651.4144
68468,11026,JOE MARTINEZ,857.8447
43775,11027,CHLOE HALL,3756.989
58536,11027,CHLOE HALL,2666.3208
69088,11027,CHLOE HALL,860.3751
43831,11028,JULIA SMITH,3729.364
57943,11028,JULIA SMITH,2604.7944
67961,11028,JULIA SMITH,820.2968
43794,11029,JOE GONZALEZ,3756.989
57294,11029,JOE GONZALEZ,2661.9119
70593,11029,JOE GONZALEZ,835.7447
43956,11030,JULIA JOHNSTON,3756.989
62739,11030,JULIA JOHNSTON,2563.589
70449,11030,JULIA JOHNSTON,830.2307
43933,11031,JULIA WILLIAMS,3756.989
62222,11031,JULIA WILLIAMS,2566.1194
70748,11031,JULIA WILLIAMS,835.7447
44021,11032,JOE SANCHEZ,3729.364
64042,11032,JOE SANCHEZ,2651.1492
70373,11032,JOE SANCHEZ,830.2307
43998,11033,JULIA JONES,3729.364
63409,11033,JULIA JONES,2602.2529
